input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
DIXIE,DIXIE,Fix / reporting point / waypoint,,40.09936666,-74.16449166,US,NJ,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,MILITARY SID,SECTIONAL,SID"
DJB,DJB,Navigation aid,DRYER,41.35806497,-82.16196869,US,OH,CLEVELAND,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
DLL,DLL,Airport / landing facility,BARABOO/WISCONSIN DELLS RGNL,43.52202555,-89.77123805,US,WI,BARABOO,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DLL,DLL,Navigation aid,DELLS,43.55083561,-89.76362247,US,WI,BARABOO,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
DORET,DORET,Fix / reporting point / waypoint,,41.80163888,-80.58462222,US,OH,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH,SID"
DORRN,DORRN,Fix / reporting point / waypoint,,37.53167777,-77.89378333,US,VA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
DSM,DSM,Airport / landing facility,DES MOINES INTL,41.53397277,-93.66307222,US,IA,DES MOINES,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DSM,DSM,Navigation aid,DES MOINES,41.4376248,-93.64855794,US,IA,DES MOINES,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
DSM,DSM,Navigation aid,DES MOINES,41.53899808,-93.65742563,US,IA,DES MOINES,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
DTW,DTW,Airport / landing facility,DETROIT METRO WAYNE COUNTY,42.21243111,-83.35339333,US,MI,DETROIT,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DTW,DTW,Navigation aid,DETROIT MET WAYNE,42.23166666,-83.35833333,US,MI,DETROIT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
DUCEN,DUCEN,Fix / reporting point / waypoint,,29.27606388,-81.32312222,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
DVC,DVC,Navigation aid,DOVE CREEK,37.80873972,-108.93127388,US,CO,DOVE CREEK,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EARND,EARND,Fix / reporting point / waypoint,,41.42527777,-87.57222222,US,IL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
EAU,EAU,Airport / landing facility,CHIPPEWA VALLEY RGNL,44.86580555,-91.48425,US,WI,EAU CLAIRE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
EAU,EAU,Navigation aid,EAU CLAIRE,44.89767002,-91.47853497,US,WI,EAU CLAIRE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
